player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,BAD_MOVE,0.0,0.0,1,1,2,0.015
Group1,Group20,Group20,BAD_MOVE,0.0,0.0,6,5,11,0.097
Group1,Group997,Group997,BAD_MOVE,0.0,0.0,6,5,11,0.097
Group1,Group998,Group998,BAD_MOVE,0.0,0.0,6,5,11,0.108
Group1,Group999,Group999,BAD_MOVE,0.0,0.0,6,5,11,0.098
Group2,Group1,Group1,BAD_MOVE,0.0,0.0,1,0,1,0.01
Group2,Group20,Group20,BAD_MOVE,0.0,0.0,1,0,1,0.012
Group2,Group997,Group997,BAD_MOVE,0.0,0.0,1,0,1,0.011
Group2,Group998,Group998,BAD_MOVE,0.0,0.0,1,0,1,0.011
Group2,Group999,Group999,BAD_MOVE,0.0,0.0,1,0,1,0.007
Group20,Group1,Group20,BAD_MOVE,0.0,0.0,5,5,10,0.085
Group20,Group2,Group20,BAD_MOVE,0.0,0.0,1,1,2,0.014
Group20,Group997,Group20,BAD_MOVE,0.0,0.0,5,5,10,0.106
Group20,Group998,Group998,BAD_MOVE,0.0,0.0,4,3,7,0.069
Group20,Group999,Group999,BAD_MOVE,0.0,0.0,6,5,11,0.102
Group997,Group1,Group997,BAD_MOVE,0.0,0.0,5,5,10,0.089
Group997,Group2,Group997,BAD_MOVE,0.0,0.0,1,1,2,0.013
Group997,Group20,Group20,BAD_MOVE,0.0,0.0,8,7,15,0.156
Group997,Group998,Group997,BAD_MOVE,0.0,0.0,13,13,26,0.188
Group997,Group999,Group999,BAD_MOVE,0.0,0.0,5,4,9,0.079
Group998,Group1,Group998,BAD_MOVE,0.0,0.0,5,5,10,0.094
Group998,Group2,Group998,BAD_MOVE,0.0,0.0,1,1,2,0.028
Group998,Group20,Group20,BAD_MOVE,0.0,0.0,3,2,5,0.056
Group998,Group997,Group997,BAD_MOVE,0.0,0.0,3,2,5,0.048
Group998,Group999,Group998,BAD_MOVE,0.0,0.0,4,4,8,0.071
Group999,Group1,Group999,BAD_MOVE,0.0,0.0,5,5,10,0.085
Group999,Group2,Group999,BAD_MOVE,0.0,0.0,1,1,2,0.015
Group999,Group20,Group999,BAD_MOVE,0.0,0.0,7,7,14,0.11
Group999,Group997,Group997,BAD_MOVE,0.0,0.0,7,6,13,0.086
Group999,Group998,Group998,BAD_MOVE,0.0,0.0,12,11,23,0.132
